label_col,label_display,variant,variant_label,algorithm,algorithm_label,group_mode,n_rows,positive_rows,positive_rate,n_papers,n_families,n_groups,positive_groups,cv_folds,feature_count_mean,feature_count_min,feature_count_max,balanced_accuracy,f1,precision,recall,roc_auc,average_precision,topk_precision,topk_k,n_groups_crossing_folds,max_folds_per_group
morph_hc_is_particle_cluster,Particle/Cluster,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,1689,0.5492682926829269,1198,920,3075,1689,5,217.0,216,219,0.7101079303565982,0.7340329835082459,0.7436208991494532,0.7246891651865008,0.7861841796122435,0.8267408234923475,0.974025974025974,308.0,0,1
morph_hc_is_porous_network,Porous Network,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,1531,0.4978861788617886,1198,920,3075,1531,5,217.0,216,219,0.7507138735561776,0.7389229720518065,0.7726300784034212,0.7080339647289353,0.8419678543266449,0.8609381042779544,0.9967532467532467,308.0,0,1
morph_hc_is_2d_sheet,2D Sheet,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,1021,0.33203252032520325,1198,920,3075,1021,5,217.0,216,219,0.744118640010605,0.6581154415392205,0.6630218687872763,0.653281096963761,0.8256120019035502,0.7345375247936782,0.8928571428571429,308.0,0,1
morph_hc_is_generic_nanostructure,Generic Nanostructure,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,890,0.2894308943089431,1198,920,3075,890,5,217.0,216,219,0.7008459105751678,0.5745454545454546,0.6236842105263158,0.5325842696629214,0.7776574190728409,0.6553637858597775,0.8376623376623377,308.0,0,1
morph_hc_is_1d_wire_rod_tube,1D Wire Rod Tube,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,680,0.22113821138211381,1198,920,3075,680,5,217.0,216,219,0.6860785337099349,0.521079258010118,0.6106719367588933,0.45441176470588235,0.7778401694707111,0.5900349328992196,0.7305194805194806,308.0,0,1
morph_hc_is_film_coating,Film Coating,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,427,0.13886178861788617,1198,920,3075,427,5,217.0,216,219,0.7416781345295287,0.5648484848484848,0.585427135678392,0.5456674473067916,0.824553195553889,0.6093154857429428,0.6525974025974026,308.0,0,1
morph_hc_is_crystalline,Crystalline,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,414,0.13463414634146342,1198,920,3075,414,5,217.0,216,219,0.705203720950498,0.5316091954022989,0.6560283687943262,0.4468599033816425,0.7992010195578648,0.5581823764950418,0.6136363636363636,308.0,0,1
morph_hc_is_rough_wrinkled,Rough Wrinkled,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,347,0.11284552845528455,1198,920,3075,347,5,217.0,216,219,0.6977787191427147,0.5294117647058824,0.7309644670050761,0.414985590778098,0.7624374614415983,0.5289223354734532,0.5292207792207793,308.0,0,1
morph_hc_is_hollow_core_shell,Hollow Core Shell,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,294,0.09560975609756098,1198,920,3075,294,5,217.0,216,219,0.5861659658469645,0.28205128205128205,0.5729166666666666,0.1870748299319728,0.7387306234971514,0.3515243226965703,0.32792207792207795,308.0,0,1
morph_hc_is_faceted_polyhedron,Faceted Polyhedron,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,251,0.0816260162601626,1198,920,3075,251,5,217.0,216,219,0.6991594528401973,0.5309278350515464,0.7518248175182481,0.4103585657370518,0.7926988928140131,0.5184222756401355,0.41883116883116883,308.0,0,1
morph_hc_is_array_or_aligned,Array Or Aligned,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,206,0.06699186991869918,1198,920,3075,206,5,217.0,216,219,0.6941366871173948,0.5015105740181269,0.664,0.4029126213592233,0.8291089551178146,0.5211173174097979,0.36038961038961037,308.0,0,1
morph_hc_is_amorphous,Amorphous,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,165,0.05365853658536585,1198,920,3075,165,5,217.0,216,219,0.6835832552327398,0.49206349206349204,0.7126436781609196,0.37575757575757573,0.7746183484327814,0.46034072597851045,0.2727272727272727,308.0,0,1
morph_hc_is_flower_urchin_dendrite,Flower Urchin Dendrite,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,157,0.05105691056910569,1198,920,3075,157,5,217.0,216,219,0.6733747920877662,0.4628099173553719,0.6588235294117647,0.35668789808917195,0.8249455390001876,0.47925353404576665,0.2922077922077922,308.0,0,1
morph_hc_is_hierarchical,Hierarchical,structured_only,Structured only,random_forest,Random forest,catalyst_key,3075,146,0.047479674796747966,1198,920,3075,146,5,217.0,216,219,0.6808450684463817,0.4489795918367347,0.5555555555555556,0.3767123287671233,0.7605288634673576,0.4330760006346787,0.23376623376623376,308.0,0,1
