Catalyst key,Catalyst,Formula,Morphology
paper_1000|output_1000|chem_H_WO3,H-WO3,H-WO3,Hierarchical
paper_1001|output_1001|chem_RuC_B_O_rGO,Ru_C - B - O / rGO,,Particle/Cluster
paper_1002|output_1002|chem_SnO2,SnO₂,SnO₂,Crystalline; Faceted Polyhedron; Flower/Urchin/Dendrite; Particle/Cluster; Porous Network
paper_1003|output_1003|chem_Ni3S4_IF,Ni₃S₄/IF,Ni₃S₄,Porous Network
paper_1003|output_1003|chem_Ni3S4_NiFe_LDH_IF,Ni₃S₄/NiFe-LDH/IF,Ni₃S₄/NiFe-LDH,2D Sheet; Particle/Cluster; Porous Network
paper_1003|output_1003|chem_NiFe_LDH_IF,NiFe-LDH/IF,NiFe-LDH,2D Sheet; Particle/Cluster; Porous Network
paper_1003|output_1003|chem_Ru_NiFe_LDH_IF,Ru-NiFe-LDH/IF,Ru-NiFe-LDH,2D Sheet; Porous Network
paper_1003|output_1003|chem_S_FeOOH_IF,S-FeOOH/IF,FeOOH,Porous Network
paper_1004|output_1004|chem_Ni_RuO2,Ni-RuO₂,Ni-RuO₂,Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1005|output_1005|chem_Cr0.008Ru0.992_fcc_hcp_aerogel,Cr_{0.008}Ru_{0.992 fcc / hcp} aerogel,Cr_{0.008}Ru_{0.992},Particle/Cluster; Porous Network
paper_1005|output_1005|chem_Cr0.022Ru0.978_fcc_hcp_aerogel,Cr_{0.022}Ru_{0.978 fcc / hcp} aerogel,Cr_{0.022}Ru_{0.978},Particle/Cluster; Porous Network
paper_1005|output_1005|chem_Cr0.033Ru0.967_fcc_hcp_aerogel,Cr_{0.033}Ru_{0.967 fcc / hcp} aerogel,Cr_{0.033}Ru_{0.967},Faceted Polyhedron; Particle/Cluster; Porous Network
paper_1005|output_1005|chem_Cr0.041Ru0.959_fcc_hcp_aerogel,Cr_{0.041}Ru_{0.959 fcc / hcp} aerogel,Cr_{0.041}Ru_{0.959},Particle/Cluster; Porous Network
paper_1005|output_1005|chem_Ru_fcc_aerogel,Ru_{fcc} aerogel,Ru,Faceted Polyhedron; Particle/Cluster; Porous Network
paper_1005|output_1005|chem_Ru_fcc_hcp_aerogel,Ru_{fcc / hcp} aerogel,Ru,Faceted Polyhedron; Particle/Cluster; Porous Network
paper_1005|output_1005|chem_Ru_hcp_aerogel,Ru_{hcp} aerogel,Ru,Faceted Polyhedron; Particle/Cluster; Porous Network
paper_1006|output_1006|chem_ni_ii_fe,NiII-Fe,,Film/Coating; Particle/Cluster; Porous Network
paper_1006|output_1006|chem_v_ni_ii_fe,V-NiII-Fe,,Generic Nanostructure; Particle/Cluster; Porous Network
paper_1008|output_1008|chem_Pt1Cl0.5_Ru-NPs_RuOx,Pt₁Cl₀.₅/Ru-NPs@RuOₓ,,Particle/Cluster
paper_1008|output_1008|chem_Pt1_Ru-NPs_RuOx,Pt₁/Ru-NPs@RuOₓ,,Particle/Cluster
paper_1008|output_1008|chem_Ru-NPs_RuOx,Ru-NPs@RuOₓ,,Crystalline; Particle/Cluster
paper_1009|output_1009|chem_NM,nickel mesh,Ni,1D Wire/Rod/Tube; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1009|output_1009|chem_Ni3S2,Ni₃S₂,Ni₃S₂,2D Sheet
paper_1009|output_1009|chem_NiFe_LDH,NiFe-LDH,NiFe-LDH,2D Sheet; Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1009|output_1009|chem_NiFe_LDH_Ni3S2_NM,NiFe-LDH/Ni₃S₂ heterostructure,NiFe-LDH/Ni₃S₂,2D Sheet
paper_100|output_100|chem_IrFeCoNi,IrFeCoNi,IrFeCoNi,Faceted Polyhedron
paper_100|output_100|chem_Ir_benchmark,Iridium,Ir,Particle/Cluster
paper_100|output_100|chem_Ru0.20_IrFeCoNi_0.80,"Ru0.20(Ir,Fe,Co,Ni)0.80",Ru0.20(IrFeCoNi)0.80,Amorphous; Crystalline; Generic Nanostructure; Particle/Cluster
paper_100|output_100|chem_Ru_benchmark,Ruthenium,Ru,Particle/Cluster
paper_1010|output_1010|chem_Co_n_NPC,Co_n@NPC,,Faceted Polyhedron; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1010|output_1010|chem_Co_n_Pt_1_NPC,Co_n-Pt_1@NPC,,Particle/Cluster; Porous Network
paper_1010|output_1010|chem_Pt_1_NPC,Pt_1@NPC,,Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1012|output_1012|chem_Ru_Cu2O,Ru@Cu₂O,,2D Sheet; Particle/Cluster
paper_1012|output_1012|chem_Ru_Mn3O4,Ru@Mn₃O₄,Ru@Mn₃O₄,Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1012|output_1012|chem_Ru_NPs,Ru NPs,,Faceted Polyhedron; Generic Nanostructure; Particle/Cluster
paper_1012|output_1012|chem_Ru_NiO,Ru@NiO,,2D Sheet
